764	HT29
765	COLO205
766	HUH7
767	OV90
768	NCIH2122
769	A549
770	NCIH460
771	ZR751
772	KPL1
773	MCF7
774	T47D
775	LNCAPCLONEFGC
776	VCAP
777	OVCAR8
778	SW837
779	CAKI1
780	A498
781	ACHN
782	SKOV3
783	IGROV1
784	OVCAR4
785	TC32
786	EW8
787	TC71
788	RD
789	COLO320
790	NCIH520
791	SW620
792	A2780
793	NCIH522
794	MOLT4
795	HDLM2
796	L1236
797	L428
798	RPMI8226
799	HL60
800	K562
801	WM115
802	HT144
803	UACC62
804	SKMEL2
805	SKMEL30
806	UACC257
807	SKMEL5
808	MALME3M
809	SKMEL28
810	A375
811	NCIH226
812	U251MG
813	SNB19
814	SF295
815	T98G
816	HS578T
817	BT549
818	CAOV3
819	DU145
820	A2058
821	KM12
822	RKO
823	HCT116
824	786O
825	RPMI7951
826	ES2
827	LOXIMVI
828	MDAMB436
829	NCIH1650
830	MDAMB468
831	SKMES1
832	MDAMB231
833	PC3
834	NCIH322
835	PANC1
836	NCIH23
837	HCT15
838	DLD1
839	LOVO